frame_index,timestamp_sec,camera_id,session_id,worker_id,pose_detected,posture,trunk_flexion_deg,lumbar_torque_nm,compression_force_n,torso_lever_arm_m,load_lever_arm_m,risk_level,risk_score,is_estimated_model_indicator,disclaimer,left_shoulder_deg,right_shoulder_deg,left_elbow_deg,right_elbow_deg,left_hip_deg,right_hip_deg,left_knee_deg,right_knee_deg
1,0.04,camera_01,sess_1789842796_camera_01,W-C01-a_01,True,BENDING,25.2,67.9,1745.5,0.12,0.3,LOW,20.0,True,Estimated biomechanical model indicator; not a direct medical measurement.,65.8,48.4,162.6,180.0,146.9,146.9,164.2,164.2
2,0.08,camera_01,sess_1789842796_camera_01,W-C01-a_01,True,UPRIGHT,24.7,43.8,1194.9,0.11,0.29,LOW,12.9,True,Estimated biomechanical model indicator; not a direct medical measurement.,65.3,47.9,162.6,180.0,147.4,147.4,164.2,164.2
3,0.12,camera_01,sess_1789842796_camera_01,W-C01-a_01,True,BENDING,25.6,68.8,1763.5,0.12,0.3,LOW,20.2,True,Estimated biomechanical model indicator; not a direct medical measurement.,66.2,48.8,162.6,180.0,146.5,146.5,164.2,164.2
4,0.16,camera_01,sess_1789842796_camera_01,W-C01-a_01,True,BENDING,25.2,67.9,1745.5,0.12,0.3,LOW,20.0,True,Estimated biomechanical model indicator; not a direct medical measurement.,65.8,48.4,162.6,180.0,146.9,146.9,164.2,164.2
5,0.2,camera_01,sess_1789842796_camera_01,W-C01-a_01,True,UPRIGHT,24.6,43.7,1193.4,0.11,0.3,LOW,12.9,True,Estimated biomechanical model indicator; not a direct medical measurement.,65.2,47.8,162.6,180.0,147.4,147.4,164.0,164.0
6,0.24,camera_01,sess_1789842796_camera_01,W-C01-a_01,True,BENDING,25.2,67.9,1745.5,0.12,0.3,LOW,20.0,True,Estimated biomechanical model indicator; not a direct medical measurement.,65.8,48.4,162.6,180.0,146.9,146.9,164.2,164.2
7,0.28,camera_01,sess_1789842796_camera_01,W-C01-a_01,True,UPRIGHT,24.6,43.7,1193.4,0.11,0.3,LOW,12.9,True,Estimated biomechanical model indicator; not a direct medical measurement.,65.2,47.8,162.6,180.0,147.4,147.4,164.0,164.0
8,0.32,camera_01,sess_1789842796_camera_01,W-C01-a_01,True,BENDING,25.6,68.8,1763.5,0.12,0.3,LOW,20.2,True,Estimated biomechanical model indicator; not a direct medical measurement.,66.2,48.8,162.6,180.0,146.5,146.5,164.2,164.2
9,0.36,camera_01,sess_1789842796_camera_01,W-C01-a_01,True,BENDING,25.6,68.8,1763.5,0.12,0.3,LOW,20.2,True,Estimated biomechanical model indicator; not a direct medical measurement.,66.2,48.8,162.6,180.0,146.5,146.5,164.2,164.2
10,0.4,camera_01,sess_1789842796_camera_01,W-C01-a_01,True,BENDING,25.2,67.9,1745.5,0.12,0.3,LOW,20.0,True,Estimated biomechanical model indicator; not a direct medical measurement.,65.8,48.4,162.6,180.0,146.9,146.9,164.2,164.2
11,0.44,camera_01,sess_1789842796_camera_01,W-C01-a_01,True,BENDING,25.6,68.8,1763.5,0.12,0.3,LOW,20.2,True,Estimated biomechanical model indicator; not a direct medical measurement.,66.2,48.8,162.6,180.0,146.5,146.5,164.2,164.2
12,0.48,camera_01,sess_1789842796_camera_01,W-C01-a_01,True,BENDING,25.2,67.9,1745.5,0.12,0.3,LOW,20.0,True,Estimated biomechanical model indicator; not a direct medical measurement.,65.8,48.4,162.6,180.0,146.9,146.9,164.2,164.2
13,0.52,camera_01,sess_1789842796_camera_01,W-C01-a_01,True,BENDING,26.1,69.8,1781.4,0.12,0.3,LOW,20.5,True,Estimated biomechanical model indicator; not a direct medical measurement.,66.7,49.3,162.6,180.0,146.0,146.0,164.2,164.2
14,0.56,camera_01,sess_1789842796_camera_01,W-C01-a_01,True,BENDING,26.6,70.8,1799.1,0.12,0.31,LOW,20.8,True,Estimated biomechanical model indicator; not a direct medical measurement.,67.2,49.8,162.6,180.0,145.5,145.5,164.2,164.2
15,0.6,camera_01,sess_1789842796_camera_01,W-C01-a_01,True,BENDING,26.0,69.9,1784.0,0.12,0.31,LOW,20.6,True,Estimated biomechanical model indicator; not a direct medical measurement.,66.6,49.2,162.6,180.0,146.0,146.0,164.0,164.0
16,0.64,camera_01,sess_1789842796_camera_01,W-C01-a_01,True,BENDING,26.1,69.8,1781.4,0.12,0.3,LOW,20.5,True,Estimated biomechanical model indicator; not a direct medical measurement.,66.7,49.3,162.6,180.0,146.0,146.0,164.2,164.2
17,0.68,camera_01,sess_1789842796_camera_01,W-C01-a_01,True,BENDING,26.1,69.8,1781.4,0.12,0.3,LOW,20.5,True,Estimated biomechanical model indicator; not a direct medical measurement.,66.7,49.3,162.6,180.0,146.0,146.0,164.2,164.2
18,0.72,camera_01,sess_1789842796_camera_01,W-C01-a_01,True,BENDING,26.1,69.8,1781.4,0.12,0.3,LOW,20.5,True,Estimated biomechanical model indicator; not a direct medical measurement.,66.7,49.3,162.6,180.0,146.0,146.0,164.2,164.2
19,0.76,camera_01,sess_1789842796_camera_01,W-C01-a_01,True,BENDING,26.1,69.8,1781.4,0.12,0.3,LOW,20.5,True,Estimated biomechanical model indicator; not a direct medical measurement.,66.7,49.3,162.6,180.0,146.0,146.0,164.2,164.2
20,0.8,camera_01,sess_1789842796_camera_01,W-C01-a_01,True,BENDING,26.1,69.8,1781.4,0.12,0.3,LOW,20.5,True,Estimated biomechanical model indicator; not a direct medical measurement.,66.7,49.3,162.6,180.0,146.0,146.0,164.2,164.2
21,0.84,camera_01,sess_1789842796_camera_01,W-C01-a_01,True,BENDING,26.0,69.9,1784.0,0.12,0.31,LOW,20.6,True,Estimated biomechanical model indicator; not a direct medical measurement.,66.6,49.2,162.6,180.0,146.0,146.0,164.0,164.0
22,0.88,camera_01,sess_1789842796_camera_01,W-C01-a_01,True,BENDING,26.1,69.8,1781.4,0.12,0.3,LOW,20.5,True,Estimated biomechanical model indicator; not a direct medical measurement.,66.7,49.3,162.6,180.0,146.0,146.0,164.2,164.2
23,0.92,camera_01,sess_1789842796_camera_01,W-C01-a_01,True,BENDING,26.1,69.8,1781.4,0.12,0.3,LOW,20.5,True,Estimated biomechanical model indicator; not a direct medical measurement.,66.7,49.3,162.6,180.0,146.0,146.0,164.2,164.2
24,0.96,camera_01,sess_1789842796_camera_01,W-C01-a_01,True,BENDING,27.0,71.7,1816.6,0.12,0.31,LOW,21.1,True,Estimated biomechanical model indicator; not a direct medical measurement.,67.6,50.2,162.6,180.0,145.1,145.1,164.2,164.2
25,1.0,camera_01,sess_1789842796_camera_01,W-C01-a_01,True,BENDING,25.5,69.0,1766.4,0.12,0.3,LOW,20.3,True,Estimated biomechanical model indicator; not a direct medical measurement.,66.1,48.7,162.6,180.0,146.5,146.5,164.0,164.0
